"";"State";"Code";"year";"Region";"Mean";"Population"
"86";"North Dakota";"ND";"2000";"Midwest";148,565269495921;642200
"87";"Ohio";"OH";"2000";"Midwest";148,453284438978;11353140
"88";"Oklahoma";"OK";"2000";"South";148,200950703848;3450654
"89";"Oregon";"OR";"2000";"West";148,651212866715;3421399
"90";"Pennsylvania";"PA";"2000";"Northeast";147,27391128186;12281054
"91";"Rhode Island";"RI";"2000";"Northeast";142,814714784548;1048319
"92";"South Carolina";"SC";"2000";"South";148,082598683472;4012012
"93";"South Dakota";"SD";"2000";"Midwest";147,947359591746;754844
"94";"Tennessee";"TN";"2000";"South";149,21096076656;5689283
"95";"Texas";"TX";"2000";"South";146,108913605124;20851820
"96";"Utah";"UT";"2000";"West";149,211049022891;2233169
"97";"Vermont";"VT";"2000";"Northeast";146,166947970871;608827
"98";"Virginia";"VA";"2000";"South";144,53177109407;7078515
"99";"Washington";"WA";"2000";"West";147,388280666827;5894121
"100";"West Virginia";"WV";"2000";"South";149,611098424254;1808344
"101";"Wisconsin";"WI";"2000";"Midwest";147,795125554891;5363675
"102";"Wyoming";"WY";"2000";"West";146,308916504234;493782
"103";"Alabama";"AL";"2010";"South";142,990585622039;4779736
"104";"Alaska";"AK";"2010";"West";182,412553940547;710231
"105";"Arizona";"AZ";"2010";"West";133,636619185458;6392017
"106";"Arkansas";"AR";"2010";"South";146,562348549419;2915918
"107";"California";"CA";"2010";"West";160,750829513546;37253956
"108";"Colorado";"CO";"2010";"West";134,821103908912;5029196
"109";"Connecticut";"CT";"2010";"Northeast";163,592936739826;3574097
"110";"Delaware";"DE";"2010";"South";177,026559427149;897934
"111";"District of Columbia";"DC";"2010";"South";263,034811698791;601723
"112";"Florida";"FL";"2010";"South";147,763721311458;18801310
"113";"Georgia";"GA";"2010";"South";118,086105216636;9687653
"114";"Hawaii";"HI";"2010";"West";225,417001916679;1360301
"115";"Idaho";"ID";"2010";"West";149,280670681184;1567582
"116";"Illinois";"IL";"2010";"Midwest";137,22157055395;12830632
